2026-06-02 18:18:30,145 | INFO    | s10_db             |   table squads                     12948 rows, 6 cols
2026-06-02 18:18:30,186 | INFO    | s10_db             |   table elo_ratings                18142 rows, 4 cols
2026-06-02 18:18:30,324 | INFO    | s10_db             |   table fifa_rankings              67261 rows, 4 cols
2026-06-02 18:18:30,334 | INFO    | s10_db             |   table market_values                 48 rows, 6 cols
2026-06-02 18:18:30,353 | INFO    | s10_db             |   table wc_matches_history           900 rows, 15 cols
2026-06-02 18:18:30,365 | INFO    | s10_db             |   table wc_tournaments                21 rows, 10 cols
2026-06-02 18:18:30,379 | INFO    | s10_db             |   table wc2026_fixtures              104 rows, 9 cols
2026-06-02 18:18:30,392 | INFO    | s10_db             |   table wc2026_qualified_teams        49 rows, 3 cols
2026-06-02 18:18:30,648 | INFO    | s10_db             |   table goalscorers                47601 rows, 8 cols
2026-06-02 18:18:30,660 | INFO    | s10_db             |   table odds                           0 rows, 9 cols
2026-06-02 18:18:30,672 | INFO    | s10_db             |   table venues                        16 rows, 7 cols
2026-06-02 18:18:30,674 | INFO    | s10_db             | stage 10 (db) complete: 18 tables -> ['elo_ratings', 'fifa_rankings', 'goalscorers', 'injuries', 'market_values', 'matches', 'odds', 'player_match_stats', 'player_tournament_stats', 'players', 'squads', 'team_match_features', 'team_match_stats', 'venues', 'wc2026_fixtures', 'wc2026_qualified_teams', 'wc_matches_history', 'wc_tournaments']
2026-06-02 22:52:06,658 | INFO    | s13_sb             | WC2022: 64 matches
2026-06-02 22:54:02,266 | INFO    | s13_sb             | WC2022: cumulative starters=1408 team-rows=127
2026-06-02 22:54:04,636 | INFO    | s13_sb             | WC2018: 64 matches
2026-06-02 22:54:39,107 | INFO    | common             | wrote   1246 rows -> fifa_wc_data\raw\squads_wc2026\official_squads.csv
2026-06-02 22:54:39,128 | INFO    | s14_squads         | official WC2026 squads: 1246 players across 48 teams
2026-06-02 22:54:39,129 | INFO    | s14_squads         | sample teams: Algeria, Argentina, Australia, Austria, Belgium, Bosnia and Herzegovina, Brazil, Canada, Cape Verde, Colombia, Croatia, Curaçao
2026-06-02 22:55:12,618 | INFO    | s15_odds           | austro/beat-the-bookie-worldwide-football-dataset: 0 csv files
