team,venue_id,venue_name,distance_km,timezone_delta,travel_fatigue_index,altitude_delta_m,eastward_penalty
Côte d'Ivoire,8,Los Angeles Stadium,12332.44,-18,169.561,247.0,0
Côte d'Ivoire,9,Mexico City Stadium,13170.42,-17,161.259,2287.0,0
Côte d'Ivoire,10,Miami Stadium,15226.13,-15,144.463,12.0,0
Côte d'Ivoire,11,Monterrey Stadium,13410.67,-17,161.566,549.0,0
Côte d'Ivoire,12,New York/New Jersey Stadium,16225.21,-15,145.416,9.0,0
Côte d'Ivoire,13,Philadelphia Stadium,16120.84,-15,145.319,1.0,0
Côte d'Ivoire,14,San Francisco Bay Area Stadium,12212.09,-18,169.385,1.0,0
Côte d'Ivoire,15,Seattle Stadium,12722.34,-18,170.121,3.0,0
Côte d'Ivoire,16,Toronto Stadium,15811.76,-15,145.029,85.0,0
Ecuador,1,Atlanta Stadium,3825.78,-1,8.25,290.0,0
Ecuador,2,BC Place Vancouver,6949.42,-3,26.54,11.0,0
Ecuador,3,Boston Stadium,4755.6,0,0.0,83.0,0
Ecuador,4,Dallas Stadium,4136.09,-1,8.328,149.0,0
Ecuador,5,Guadalajara Stadium,3563.13,-2,16.357,1566.0,0
Ecuador,6,Houston Stadium,3775.49,-1,8.237,15.0,0
Ecuador,7,Kansas City Stadium,4657.53,-1,8.446,273.0,0
Ecuador,8,Los Angeles Stadium,5625.28,-3,25.906,247.0,0
Ecuador,9,Mexico City Stadium,3127.5,-2,16.097,2287.0,0
Ecuador,10,Miami Stadium,2892.75,0,0.0,12.0,0
Ecuador,11,Monterrey Stadium,3712.39,-2,16.439,549.0,0
Ecuador,12,New York/New Jersey Stadium,4579.91,0,0.0,9.0,0
Ecuador,13,Philadelphia Stadium,4473.99,0,0.0,1.0,0
Ecuador,14,San Francisco Bay Area Stadium,6110.18,-3,26.154,1.0,0
Ecuador,15,Seattle Stadium,6789.13,-3,26.47,3.0,0
Ecuador,16,Toronto Stadium,4872.82,0,0.0,85.0,0
Egypt,1,Atlanta Stadium,10217.29,-8,73.855,290.0,0
Egypt,2,BC Place Vancouver,10835.82,-10,92.907,11.0,0
Egypt,3,Boston Stadium,8747.0,-7,63.536,83.0,0
Egypt,4,Dallas Stadium,11140.92,-8,74.548,149.0,0
Egypt,5,Guadalajara Stadium,12571.78,-9,84.954,1566.0,0
Egypt,6,Houston Stadium,11296.4,-8,74.659,15.0,0
Egypt,7,Kansas City Stadium,10499.01,-8,74.073,273.0,0
Egypt,8,Los Angeles Stadium,12186.71,-10,94.082,247.0,0
Egypt,9,Mexico City Stadium,12380.05,-9,84.815,2287.0,0
Egypt,10,Miami Stadium,10434.4,-7,64.771,12.0,0
Egypt,11,Monterrey Stadium,11950.39,-9,84.497,549.0,0
